team,role,priority,task_file,assignee,status,phase,next_milestone,target_date,blocker
AI Features,AI Features Engineer,P1,hiring-system/tasks/ai-features-engineer-todo.md,TBA,not-started,Phase A,Define first milestone,TBA,
Auth and Identity,Authentication Engineer,P1,hiring-system/tasks/authentication-engineer-todo.md,TBA,not-started,Phase A,Define first milestone,TBA,
Cloud Services,Cloud Services Engineer,P1,hiring-system/tasks/cloud-services-engineer-todo.md,TBA,not-started,Phase A,Define first milestone,TBA,
Collaboration,Collaboration Engineer,P1,hiring-system/tasks/collaboration-engineer-todo.md,TBA,not-started,Phase A,Define first milestone,TBA,
Developer Relations,DevRel Engineer SDK,P1,hiring-system/tasks/devrel-engineer-sdk-todo.md,TBA,not-started,Phase A,Define first milestone,TBA,
Core Engines,Director Core Engines,P0,hiring-system/tasks/director-core-engines-todo.md,TBA,not-started,Phase A,Define first milestone,TBA,
Platform,Director Platform and Reliability,P0,hiring-system/tasks/director-platform-reliability-todo.md,TBA,not-started,Phase A,Define first milestone,TBA,
Interop,DWG Interop Engineer,P1,hiring-system/tasks/dwg-interop-engineer-todo.md,TBA,not-started,Phase A,Define first milestone,TBA,
Interop,Import Export Pipeline Engineer,P1,hiring-system/tasks/import-export-pipeline-engineer-todo.md,TBA,not-started,Phase A,Define first milestone,TBA,
Infrastructure and SRE,Infrastructure SRE Engineer,P1,hiring-system/tasks/infrastructure-sre-engineer-todo.md,TBA,not-started,Phase A,Define first milestone,TBA,
Performance and Reliability,Performance Engineer,P0,hiring-system/tasks/performance-engineer-todo.md,TBA,not-started,Phase A,Define first milestone,TBA,
Plugin SDK,Plugin SDK Engineer,P1,hiring-system/tasks/plugin-sdk-engineer-todo.md,TBA,not-started,Phase A,Define first milestone,TBA,
Constraint Solver,Principal Constraint Solver Engineer,P0,hiring-system/tasks/principal-constraint-solver-engineer-todo.md,TBA,not-started,Phase A,Define first milestone,TBA,
Geometry Kernel,Principal Geometry Engineer,P0,hiring-system/tasks/principal-geometry-engineer-todo.md,TBA,not-started,Phase A,Define first milestone,TBA,
Design,Product Designer Pro Tools,P1,hiring-system/tasks/product-designer-pro-tools-todo.md,TBA,not-started,Phase A,Define first milestone,TBA,
Product,Product Manager Core Modeling,P0,hiring-system/tasks/product-manager-core-modeling-todo.md,TBA,not-started,Phase A,Define first milestone,TBA,
QA Automation,QA Automation Architect,P0,hiring-system/tasks/qa-automation-architect-todo.md,TBA,not-started,Phase A,Define first milestone,TBA,
QA Automation,QA Automation Engineer,P0,hiring-system/tasks/qa-automation-engineer-todo.md,TBA,not-started,Phase A,Define first milestone,TBA,
Security,Security Engineer AppSec,P1,hiring-system/tasks/security-engineer-appsec-todo.md,TBA,not-started,Phase A,Define first milestone,TBA,
Build Systems,Senior Build Systems Engineer,P0,hiring-system/tasks/senior-build-systems-engineer-todo.md,TBA,not-started,Phase A,Define first milestone,TBA,
Desktop Platform,Senior Desktop Engineer,P0,hiring-system/tasks/senior-desktop-engineer-todo.md,TBA,not-started,Phase A,Define first milestone,TBA,
GPU Systems,Senior GPU Engineer,P0,hiring-system/tasks/senior-gpu-engineer-todo.md,TBA,not-started,Phase A,Define first milestone,TBA,
Interop,Senior IFC Interop Engineer,P1,hiring-system/tasks/senior-ifc-interop-engineer-todo.md,TBA,not-started,Phase A,Define first milestone,TBA,
Shared Engineering,Senior Rust Systems Engineer,P0,hiring-system/tasks/senior-rust-systems-engineer-todo.md,TBA,not-started,Phase A,Define first milestone,TBA,
BIM Data Model,Staff BIM Data Model Engineer,P0,hiring-system/tasks/staff-bim-data-model-engineer-todo.md,TBA,not-started,Phase A,Define first milestone,TBA,
Internal Developer Platform,Staff Developer Platform Engineer,P0,hiring-system/tasks/staff-developer-platform-engineer-todo.md,TBA,not-started,Phase A,Define first milestone,TBA,
Rendering,Staff Rendering Engineer,P0,hiring-system/tasks/staff-rendering-engineer-todo.md,TBA,not-started,Phase A,Define first milestone,TBA,
Documentation,Technical Writer,P1,hiring-system/tasks/technical-writer-todo.md,TBA,not-started,Phase A,Define first milestone,TBA,
UI Framework,UI Framework Engineer,P0,hiring-system/tasks/ui-framework-engineer-todo.md,TBA,not-started,Phase A,Define first milestone,TBA,
Engineering Leadership,VP Engineering,P0,hiring-system/tasks/vp-engineering-todo.md,TBA,not-started,Phase A,Define first milestone,TBA,
